County,Confirmed Cases,Confirmed Deaths,New Confirmed Cases,New Probable Cases,Probable Cases,Probable Deaths,Vaccine Doses
atlantic,17637,470,104,46,4457,24,26607
bergen,61304,2228,295,123,7238,273,95035
burlington,28414,643,132,38,3788,49,44692
camden,36871,969,101,33,4059,71,51294
cape_may,3272,143,14,23,3091,22,13163
cumberland,10995,294,71,10,2086,18,13347
essex,60824,2304,142,47,5349,257,68818
gloucester,19427,484,75,27,2841,22,30267
hudson,57500,1708,223,51,4756,173,40326
hunterdon,5470,95,15,13,558,54,12019
mercer,24059,786,90,24,1387,39,24306
middlesex,60933,1733,189,45,4318,221,64762
monmouth,45479,1188,162,82,4526,109,67263
morris,28316,853,131,60,4734,216,64352
ocean,45895,1588,353,71,5544,104,53561
passaic,47921,1449,129,39,4104,163,40693
salem,3966,138,27,5,437,12,5286
somerset,16634,653,60,28,3661,97,34127
sussex,7041,200,18,13,960,57,14254
union,45120,1495,124,69,6812,190,42398
warren,5624,185,30,16,614,16,8531
