County,Confirmed Cases,Confirmed Deaths,New Confirmed Cases,New Probable Cases,Probable Cases,Probable Deaths,Vaccine Doses
atlantic,17533,466,100,41,4417,24,25480
bergen,61012,2215,211,57,7122,273,90656
burlington,28282,640,92,58,3752,49,41408
camden,36772,961,91,38,4026,71,48636
cape_may,3258,143,27,27,3069,22,12513
cumberland,10925,292,42,6,2076,18,12265
essex,60680,2295,136,57,5283,257,67441
gloucester,19354,482,68,17,2817,22,28423
hudson,57280,1698,201,12,4707,173,37919
hunterdon,5455,93,47,1,543,54,11524
mercer,23969,783,65,9,1361,39,22943
middlesex,60742,1722,193,40,4277,221,61986
monmouth,45314,1175,135,23,4443,109,64177
morris,28192,851,105,13,4661,216,61596
ocean,45546,1581,213,39,5475,104,51821
passaic,47823,1444,78,31,4068,163,39482
salem,3939,135,14,2,433,12,4930
somerset,16573,653,52,21,3627,97,32745
sussex,7023,200,16,7,950,57,13817
union,44994,1493,90,4,6746,190,40469
warren,5594,184,32,4,598,16,8328
